wallet,block,side,price_usd,size_eth
0x6ae86705901be7acc153ff576a21436d590d4f44,25853273,BUY,2496.55891379,40.0849513225
0xebedc8e9ff409b23dd251f87ccbffa8075f87255,25853276,BUY,2499.86013875,4.7643297364
0x9eb9e9b2ba5c2665a16beaa8e137410358b6beaf,25853287,BUY,2503.95651417,3.7909523677
0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,25853294,SELL,2504.97620303,1.7501478963
0x731c0a8b6514c7e51f07251e0d030f9459b0903d,25853300,BUY,2507.39610381,0.0000977596
0x88a4200fa296513c5527730c8e364c10cc464add,25853300,SELL,2504.82522244,2.1021737616
0xc763c22ff2ed6bb63d211dd8d7f7c6bae98d2ae5,25853301,SELL,2504.76370541,0.0002257171
0xeaa9ebddd373c4bd8bb92dfcc9c7e7fcdb268e51,25853304,BUY,2507.94523174,23.6274452755
0x843c1218b0ca7921dd4ebba3c38cda4fb32019bd,25853304,SELL,2506.10541358,0.1173139200
0x68a406cfdda30d3a5b068e0ba0c09d4da0939bd5,25853306,BUY,2509.34490045,0.0001411153
0x43a48f99d1c9b7c1d0aeefcb159f49e325bb413a,25853320,BUY,2511.69980814,1.0152487139
0x49a782c2660e77dded753bb88ac57619298ad50e,25853323,SELL,2509.21726045,0.0123891751
0xc623b0b546bf3031ba88a583a46d5180df8d67c2,25853331,BUY,2510.14997567,0.0045294596
0x846e49ece01ac637f57c2fdf3effe476b7001190,25853359,BUY,2510.52496744,0.2010654057
0x71f417ac065e284409cb36383094a68ebcbbeeca,25853364,BUY,2510.54071941,0.3523577894
0xd9c746b09f12fa1b1377cb1ba38f52ecd68af971,25853364,BUY,2510.55635506,0.0000927922
0x449836ba684b57118c66786b4cc159d62c92bd64,25853364,BUY,2510.55082707,0.0001266650
0x899e32394e7c797baf48b6f77f7657799875393e,25853367,SELL,2506.73475262,13.5751567598
0x25b765edfab06c7e1b86fee75c5d377423eae290,25853368,BUY,2509.79035869,0.0000953199
0xebedc8e9ff409b23dd251f87ccbffa8075f87255,25853377,BUY,2509.98879948,6.0205996306
0x19a4cc064ba710a9ce97499f3c659288bb2ad2dd,25853383,BUY,2510.58259822,0.0002229960
0x4b03c323b67f297fba42ef9541ae445ab29552b5,25853400,BUY,2510.58104797,0.0001608974
0x9235910f410478b89f86e06be0e4535335af6dea,25853409,BUY,2510.63062815,0.0000951960
0x13487f054fc437ac92542ab61e76ec42c9bfd8cd,25853438,SELL,2506.16752250,0.4208568839
0xcde89f2f6ee755ef007e0d5eb312fd9a6c2ce193,25853453,BUY,2507.33434186,0.0001544577
0xed83a4c4cc41c483bee81308b89db686ac8a7744,25853454,SELL,2504.82039237,0.6790046201
0x67233a7ebf617d50e938c4c7a1f907bd8d8a081e,25853458,BUY,2507.41621772,0.0003105954
0x89b202925d1a1fdc690e822ee17b4ba3bda5d457,25853458,SELL,2504.90697836,0.0002866653
0x5c096ef846447cb935c5d247e4ab2a867ecc33a9,25853463,BUY,2507.42157508,0.0000539411
0xedf6e9212144b8a9f2850467267ae83427e5cdaa,25853496,SELL,2502.46170418,3.0176136020
0x7bf30399dba8051c2bf191afe2cd07ea4e064625,25853513,BUY,2505.15946858,10.0003819518
0xd3b8c1961c29841113dca2b210638f2d34f5f69c,25853521,BUY,2506.14411982,0.3301540643
0xace00000a77b2d4f503692f4c6c9e0b1d5469c42,25853521,BUY,2506.15377785,0.0060053230
0x73e088647f8ccd889ea853108bb3b56ce0dd3626,25853521,BUY,2506.15553525,0.0001888742
0xc8564726aaa50cf006ea28c5ef2dadd85a26b723,25853539,BUY,2506.90376401,0.3148223172
0x3932456ba61961b2c55eba355041727f8c448054,25853556,SELL,2504.09644350,6.4627347345
0x8921a35793710f9ed4e7f9dd0c0ae4974f34409b,25853558,SELL,2502.94887375,11.2000000000
0x3a19e7de0bbc596ce34af0171721c671b2cbf9e7,25853561,SELL,2502.59675932,1.2102400000
0x9da5ddd3e86c2d4efff948fc9d255fdb3f91d701,25853562,BUY,2505.06341700,0.3780180668
0xf73644da46ab85da864fc4284322f489134ee82c,25853575,BUY,2505.60655124,0.0078663587
0x9235910f410478b89f86e06be0e4535335af6dea,25853579,BUY,2505.60753372,0.0001276365
0x0a39b3faabf7836c78c913a0e6e22a0fdae61185,25853597,SELL,2503.13966136,0.0003379911
0xf08b3644815a9bd48c13bfcf8ca1c51a7418e891,25853597,SELL,2503.13704663,0.0003639281
0x9bd218c8089a8bb7422607afe5b37a9e1404deaa,25853609,BUY,2505.74815757,2.2980228131
0xf9da23ad9b1d262dcecc68ad01538d1992281f35,25853615,SELL,2503.38630053,0.1053411589
0x574be013006558d0a5682a6b0508f02d147377bf,25853620,SELL,2503.38292031,0.0130724380
0xb9ddbf14ee754bb490d6e93beb9ea187c442b4a9,25853620,BUY,2505.88869046,0.0002233272
0xd0e2e9e24223e9d035ef3503d111d502d978096d,25853620,BUY,2505.89962074,0.0000790746
0xfffffee6d1b0585e45a55b89c27aeb8c00efb44a,25853625,SELL,2503.52190151,0.0295628486
0xc68b47895e4e00fa023eb2980f92d35a2187d3cf,25853628,BUY,2507.44323560,0.0000615695
0xc8df1a5953aa7f62a35ff1501e0c10eb3c33ebfe,25853640,SELL,2503.83523424,3.0872497976
0x78e6d11e15fa420f387317b714d0e6d4ae92a5a5,25853641,BUY,2506.25377947,0.0043890208
0x9235910f410478b89f86e06be0e4535335af6dea,25853643,BUY,2506.25916322,0.0001668810
0xcde89f2f6ee755ef007e0d5eb312fd9a6c2ce193,25853649,BUY,2505.52280047,0.0001758779
0xc8df1a5953aa7f62a35ff1501e0c10eb3c33ebfe,25853682,BUY,2505.21597239,12.0527844776
0x0000000000322e7acef3e4f81e36f3c2224bb597,25853682,BUY,2505.56537758,0.0000697627
0x3331d49c3bb3dda001acabd09e5cdb0eb80f7e09,25853688,BUY,2506.50016682,1.2484713528
0xe7cb62270d5796cb17dd1aa3ffba6ac778ab7b63,25853692,BUY,2507.63941716,0.0000546043
0x89b202925d1a1fdc690e822ee17b4ba3bda5d457,25853692,SELL,2505.12248216,0.0002467568
0xc9d253f884dfbf3f39e22028b770fa7f34d110d0,25853692,SELL,2505.12229684,0.0002232310
0xda5bdbe4d105d959b97ade7a4dee2339a8c84bbb,25853696,SELL,2505.91673071,1.5308592600
0xc8df1a5953aa7f62a35ff1501e0c10eb3c33ebfe,25853698,SELL,2504.19631298,22.2407078568
0x5c096ef846447cb935c5d247e4ab2a867ecc33a9,25853712,BUY,2506.19318318,0.0000834166
0x1f6c1eb450b5fa734df678650f856f1d7a5eacf0,25853752,BUY,2502.61633286,0.0001890174
0x45bf26cc763fb2fad92c59a80e99dd2aec25f93d,25853752,SELL,2500.07806492,1.1970852487
0x573a98c4b4f59c2ab7d5a2f5f1faeddf6b62c6e2,25853761,SELL,2499.88824492,2.3757564955
0xdac0bcb3bfe3d87d33789daaf4202d2eb88353a6,25853763,SELL,2499.74335026,2.7661142842
0x7c52a2836bb70d54779db14a3c78672b7cb877fc,25853770,SELL,2498.76221536,1.4007990834
0xe15c97077b0ecb6c30689f156ce87f2f28989a9e,25853788,SELL,2497.21619569,0.0506095200
0x6711433965f4da12c2a729102ffd8c2d2b374e1b,25853794,BUY,2499.47978295,0.0000690204
0xb36ce3f521a1ff4b0cffb82ddd71f0a51fcf56ce,25853803,SELL,2496.27281703,1.5036194327
0x0b7cae7ae72de7f3e499613a2a2516a852f204d6,25853811,SELL,2495.65200000,0.0030000000
